rtl_file_path,netlist_file_path,design,module,recipe_type,area,delay
openROAD_low_level_modules_yosys_v1/asap7/aes/aes_rcon.v,dump/aes/aes_rcon_area/1_1_yosys.v,aes,aes_rcon,area,102.676000,172.84
openROAD_low_level_modules_yosys_v1/asap7/aes/aes_rcon.v,dump/aes/aes_rcon_speed/1_1_yosys.v,aes,aes_rcon,delay,102.144000,196.33
openROAD_low_level_modules_yosys_v1/asap7/aes/aes_sbox.v,dump/aes/aes_sbox_area/1_1_yosys.v,aes,aes_sbox,area,933.926000,561.14
openROAD_low_level_modules_yosys_v1/asap7/aes/aes_sbox.v,dump/aes/aes_sbox_speed/1_1_yosys.v,aes,aes_sbox,delay,905.464000,483.19
openROAD_low_level_modules_yosys_v1/gf12/ariane/btb_NR_ENTRIES64.v,dump/ariane/btb_NR_ENTRIES64_area/1_1_yosys.v,ariane,btb_NR_ENTRIES64,area,37933.728000,3559.43
openROAD_low_level_modules_yosys_v1/gf12/ariane/lfsr_8bit_00000008.v,dump/ariane/lfsr_8bit_00000008_area/1_1_yosys.v,ariane,lfsr_8bit_00000008,area,96.292000,168.56
openROAD_low_level_modules_yosys_v1/gf12/ariane/pipe_reg_simple_Depth0.v,dump/ariane/pipe_reg_simple_Depth0_area/1_1_yosys.v,ariane,pipe_reg_simple_Depth0,area,0,0.0
openROAD_low_level_modules_yosys_v1/gf12/ariane/pipe_reg_simple_Depth0.v,dump/ariane/pipe_reg_simple_Depth0_speed/1_1_yosys.v,ariane,pipe_reg_simple_Depth0,delay,0,0.0
openROAD_low_level_modules_yosys_v1/gf12/ariane/pipe_reg_simple_Depth1.v,dump/ariane/pipe_reg_simple_Depth1_area/1_1_yosys.v,ariane,pipe_reg_simple_Depth1,area,1048.040000,0.0
openROAD_low_level_modules_yosys_v1/gf12/ariane/pipe_reg_simple_Depth1.v,dump/ariane/pipe_reg_simple_Depth1_speed/1_1_yosys.v,ariane,pipe_reg_simple_Depth1,delay,1048.040000,0.0
openROAD_low_level_modules_yosys_v1/gf12/ariane/ptw_s00000001.v,dump/ariane/ptw_s00000001_area/1_1_yosys.v,ariane,ptw_s00000001,area,1644.944000,1649.10
openROAD_low_level_modules_yosys_v1/gf12/ariane/ptw_s00000001.v,dump/ariane/ptw_s00000001_speed/1_1_yosys.v,ariane,ptw_s00000001,delay,1599.724000,376.73
openROAD_low_level_modules_yosys_v1/gf12/ariane/re_name.v,dump/ariane/re_name_area/1_1_yosys.v,ariane,re_name,area,0,0.0
openROAD_low_level_modules_yosys_v1/gf12/ariane/re_name.v,dump/ariane/re_name_speed/1_1_yosys.v,ariane,re_name,delay,0,0.0
openROAD_low_level_modules_yosys_v1/gf12/ariane/scoreboard_00000008_00000004.v,dump/ariane/scoreboard_00000008_00000004_area/1_1_yosys.v,ariane,scoreboard_00000008_00000004,area,0,0.0
openROAD_low_level_modules_yosys_v1/gf12/ariane/scoreboard_00000008_00000004.v,dump/ariane/scoreboard_00000008_00000004_speed/1_1_yosys.v,ariane,scoreboard_00000008_00000004,delay,0,0.0
openROAD_low_level_modules_yosys_v1/gf12/ariane/store_buffer.v,dump/ariane/store_buffer_area/1_1_yosys.v,ariane,store_buffer,area,14506.842000,4596.96
openROAD_low_level_modules_yosys_v1/gf12/ariane/store_buffer.v,dump/ariane/store_buffer_speed/1_1_yosys.v,ariane,store_buffer,delay,14449.120000,421.58
openROAD_low_level_modules_yosys_v1/gf12/ariane/stream_demux_N_OUP3.v,dump/ariane/stream_demux_N_OUP3_area/1_1_yosys.v,ariane,stream_demux_N_OUP3,area,13.034000,88.93
openROAD_low_level_modules_yosys_v1/gf12/ariane/stream_demux_N_OUP3.v,dump/ariane/stream_demux_N_OUP3_speed/1_1_yosys.v,ariane,stream_demux_N_OUP3,delay,8.778000,131.48
openROAD_low_level_modules_yosys_v1/gf12/ariane/stream_mux_N_INP3.v,dump/ariane/stream_mux_N_INP3_area/1_1_yosys.v,ariane,stream_mux_N_INP3,area,343.938000,1397.50
openROAD_low_level_modules_yosys_v1/gf12/ariane/stream_mux_N_INP3.v,dump/ariane/stream_mux_N_INP3_speed/1_1_yosys.v,ariane,stream_mux_N_INP3,delay,353.514000,222.73
openROAD_low_level_modules_yosys_v1/gf12/ariane/tag_cmp_4_0000000c_00000008.v,dump/ariane/tag_cmp_4_0000000c_00000008_area/1_1_yosys.v,ariane,tag_cmp_4_0000000c_00000008,area,3114.860000,6080.36
openROAD_low_level_modules_yosys_v1/gf12/ariane/tag_cmp_4_0000000c_00000008.v,dump/ariane/tag_cmp_4_0000000c_00000008_speed/1_1_yosys.v,ariane,tag_cmp_4_0000000c_00000008,delay,2385.488000,565.31
openROAD_low_level_modules_yosys_v1/gf12/ariane/tlb_00000010_00000001.v,dump/ariane/tlb_00000010_00000001_area/1_1_yosys.v,ariane,tlb_00000010_00000001,area,15221.850000,2825.00
openROAD_low_level_modules_yosys_v1/gf12/ariane/tlb_00000010_00000001.v,dump/ariane/tlb_00000010_00000001_speed/1_1_yosys.v,ariane,tlb_00000010_00000001,delay,14982.716000,712.82
openROAD_low_level_modules_yosys_v1/gf12/ariane/btb_NR_ENTRIES64.v,dump/ariane/btb_NR_ENTRIES64_speed/1_1_yosys.v,ariane,btb_NR_ENTRIES64,delay,35489.188000,425.51
openROAD_low_level_modules_yosys_v1/gf12/ariane/cache_ctrl_0000000080000000.v,dump/ariane/cache_ctrl_0000000080000000_area/1_1_yosys.v,ariane,cache_ctrl_0000000080000000,area,5292.602000,6666.77
openROAD_low_level_modules_yosys_v1/gf12/ariane/cache_ctrl_0000000080000000.v,dump/ariane/cache_ctrl_0000000080000000_speed/1_1_yosys.v,ariane,cache_ctrl_0000000080000000,delay,3592.330000,508.77
openROAD_low_level_modules_yosys_v1/gf12/ariane/commit_stage.v,dump/ariane/commit_stage_area/1_1_yosys.v,ariane,commit_stage,area,894.292000,2134.10
openROAD_low_level_modules_yosys_v1/gf12/ariane/commit_stage.v,dump/ariane/commit_stage_speed/1_1_yosys.v,ariane,commit_stage,delay,748.790000,481.88
openROAD_low_level_modules_yosys_v1/gf12/ariane/compressed_decoder.v,dump/ariane/compressed_decoder_area/1_1_yosys.v,ariane,compressed_decoder,area,684.950000,1065.37
openROAD_low_level_modules_yosys_v1/gf12/ariane/compressed_decoder.v,dump/ariane/compressed_decoder_speed/1_1_yosys.v,ariane,compressed_decoder,delay,584.668000,589.55
openROAD_low_level_modules_yosys_v1/gf12/ariane/controller.v,dump/ariane/controller_area/1_1_yosys.v,ariane,controller,area,33.516000,128.11
openROAD_low_level_modules_yosys_v1/gf12/ariane/controller.v,dump/ariane/controller_speed/1_1_yosys.v,ariane,controller,delay,29.792000,181.69
openROAD_low_level_modules_yosys_v1/gf12/ariane/csr_buffer.v,dump/ariane/csr_buffer_area/1_1_yosys.v,ariane,csr_buffer,area,142.310000,203.43
openROAD_low_level_modules_yosys_v1/gf12/ariane/csr_buffer.v,dump/ariane/csr_buffer_speed/1_1_yosys.v,ariane,csr_buffer,delay,101.080000,132.91
openROAD_low_level_modules_yosys_v1/gf12/ariane/csr_regfile_0000000000000000_1.v,dump/ariane/csr_regfile_0000000000000000_1_area/1_1_yosys.v,ariane,csr_regfile_0000000000000000_1,area,25083.002000,14961.54
openROAD_low_level_modules_yosys_v1/gf12/ariane/csr_regfile_0000000000000000_1.v,dump/ariane/csr_regfile_0000000000000000_1_speed/1_1_yosys.v,ariane,csr_regfile_0000000000000000_1,delay,20145.244000,943.87
openROAD_low_level_modules_yosys_v1/gf12/ariane/decoder.v,dump/ariane/decoder_area/1_1_yosys.v,ariane,decoder,area,935.256000,1544.69
openROAD_low_level_modules_yosys_v1/gf12/ariane/decoder.v,dump/ariane/decoder_speed/1_1_yosys.v,ariane,decoder,delay,891.100000,656.35
openROAD_low_level_modules_yosys_v1/gf12/ariane/fifo_v3_0_00000020_00000001.v,dump/ariane/fifo_v3_0_00000020_00000001_area/1_1_yosys.v,ariane,fifo_v3_0_00000020_00000001,area,1773.954000,1771.88
openROAD_low_level_modules_yosys_v1/gf12/ariane/fifo_v3_0_00000020_00000001.v,dump/ariane/fifo_v3_0_00000020_00000001_speed/1_1_yosys.v,ariane,fifo_v3_0_00000020_00000001,delay,1115.870000,265.78
openROAD_low_level_modules_yosys_v1/gf12/ariane/fifo_v3_0_00000020_00000008.v,dump/ariane/fifo_v3_0_00000020_00000008_area/1_1_yosys.v,ariane,fifo_v3_0_00000020_00000008,area,12815.880000,4993.76
openROAD_low_level_modules_yosys_v1/gf12/ariane/fifo_v3_0_00000020_00000008.v,dump/ariane/fifo_v3_0_00000020_00000008_speed/1_1_yosys.v,ariane,fifo_v3_0_00000020_00000008,delay,12438.958000,443.17
openROAD_low_level_modules_yosys_v1/gf12/ariane/fifo_v3_DATA_WIDTH2_DEPTH4.v,dump/ariane/fifo_v3_DATA_WIDTH2_DEPTH4_area/1_1_yosys.v,ariane,fifo_v3_DATA_WIDTH2_DEPTH4,area,188.062000,259.04
openROAD_low_level_modules_yosys_v1/gf12/ariane/fifo_v3_DATA_WIDTH2_DEPTH4.v,dump/ariane/fifo_v3_DATA_WIDTH2_DEPTH4_speed/1_1_yosys.v,ariane,fifo_v3_DATA_WIDTH2_DEPTH4,delay,169.974000,357.47
openROAD_low_level_modules_yosys_v1/gf12/ariane/instr_realigner.v,dump/ariane/instr_realigner_area/1_1_yosys.v,ariane,instr_realigner,area,1052.828000,2205.00
openROAD_low_level_modules_yosys_v1/gf12/ariane/instr_realigner.v,dump/ariane/instr_realigner_speed/1_1_yosys.v,ariane,instr_realigner,delay,937.384000,407.05
openROAD_low_level_modules_yosys_v1/gf12/ariane/instr_scan.v,dump/ariane/instr_scan_area/1_1_yosys.v,ariane,instr_scan,area,92.036000,227.92
openROAD_low_level_modules_yosys_v1/gf12/ariane/instr_scan.v,dump/ariane/instr_scan_speed/1_1_yosys.v,ariane,instr_scan,delay,72.086000,264.12
openROAD_low_level_modules_yosys_v1/gf12/ariane/lfsr_8bit_00000004.v,dump/ariane/lfsr_8bit_00000004_area/1_1_yosys.v,ariane,lfsr_8bit_00000004,area,81.928000,143.60
openROAD_low_level_modules_yosys_v1/gf12/ariane/lfsr_8bit_00000004.v,dump/ariane/lfsr_8bit_00000004_speed/1_1_yosys.v,ariane,lfsr_8bit_00000004,delay,72.884000,189.74
openROAD_low_level_modules_yosys_v1/gf12/ariane/lfsr_8bit_00000008.v,dump/ariane/lfsr_8bit_00000008_speed/1_1_yosys.v,ariane,lfsr_8bit_00000008,delay,80.864000,189.90
openROAD_low_level_modules_yosys_v1/gf12/ariane/load_unit.v,dump/ariane/load_unit_area/1_1_yosys.v,ariane,load_unit,area,849.072000,938.71
openROAD_low_level_modules_yosys_v1/gf12/ariane/load_unit.v,dump/ariane/load_unit_speed/1_1_yosys.v,ariane,load_unit,delay,740.278000,533.36
openROAD_low_level_modules_yosys_v1/gf12/ariane/lsu_bypass.v,dump/ariane/lsu_bypass_area/1_1_yosys.v,ariane,lsu_bypass,area,3072.566000,3990.82
openROAD_low_level_modules_yosys_v1/gf12/ariane/lsu_bypass.v,dump/ariane/lsu_bypass_speed/1_1_yosys.v,ariane,lsu_bypass,delay,3124.436000,325.24
openROAD_low_level_modules_yosys_v1/gf12/ariane/lzc_00000003.v,dump/ariane/lzc_00000003_area/1_1_yosys.v,ariane,lzc_00000003,area,5.586000,75.43
openROAD_low_level_modules_yosys_v1/gf12/ariane/lzc_00000003.v,dump/ariane/lzc_00000003_speed/1_1_yosys.v,ariane,lzc_00000003,delay,3.990000,75.50
openROAD_low_level_modules_yosys_v1/gf12/ariane/lzc_00000004.v,dump/ariane/lzc_00000004_area/1_1_yosys.v,ariane,lzc_00000004,area,8.512000,76.01
openROAD_low_level_modules_yosys_v1/gf12/ariane/lzc_00000004.v,dump/ariane/lzc_00000004_speed/1_1_yosys.v,ariane,lzc_00000004,delay,4.788000,112.28
openROAD_low_level_modules_yosys_v1/gf12/ariane/lzc_WIDTH64_MODE1.v,dump/ariane/lzc_WIDTH64_MODE1_area/1_1_yosys.v,ariane,lzc_WIDTH64_MODE1,area,214.662000,330.61
openROAD_low_level_modules_yosys_v1/gf12/ariane/lzc_WIDTH64_MODE1.v,dump/ariane/lzc_WIDTH64_MODE1_speed/1_1_yosys.v,ariane,lzc_WIDTH64_MODE1,delay,153.748000,401.53
openROAD_low_level_modules_yosys_v1/gf12/ariane/multiplier.v,dump/ariane/multiplier_area/1_1_yosys.v,ariane,multiplier,area,41641.236000,3638.89
openROAD_low_level_modules_yosys_v1/gf12/ariane/multiplier.v,dump/ariane/multiplier_speed/1_1_yosys.v,ariane,multiplier,delay,40738.166000,2303.07
openROAD_low_level_modules_yosys_v1/gf12/ariane/perf_counters.v,dump/ariane/perf_counters_area/1_1_yosys.v,ariane,perf_counters,area,12264.994000,2694.01
openROAD_low_level_modules_yosys_v1/gf12/ariane/perf_counters.v,dump/ariane/perf_counters_speed/1_1_yosys.v,ariane,perf_counters,delay,11375.224000,635.18
openROAD_low_level_modules_yosys_v1/gf12/ariane/alu.v,dump/ariane/alu_area/1_1_yosys.v,ariane,alu,area,3173.114000,3132.35
openROAD_low_level_modules_yosys_v1/gf12/ariane/alu.v,dump/ariane/alu_speed/1_1_yosys.v,ariane,alu,delay,3637.816000,1216.94
openROAD_low_level_modules_yosys_v1/gf12/ariane/amo_alu.v,dump/ariane/amo_alu_area/1_1_yosys.v,ariane,amo_alu,area,2121.350000,1842.42
openROAD_low_level_modules_yosys_v1/gf12/ariane/amo_alu.v,dump/ariane/amo_alu_speed/1_1_yosys.v,ariane,amo_alu,delay,2396.660000,1210.43
openROAD_low_level_modules_yosys_v1/gf12/ariane/ariane_regfile_64_2_00000002_1.v,dump/ariane/ariane_regfile_64_2_00000002_1_area/1_1_yosys.v,ariane,ariane_regfile_64_2_00000002_1,area,26045.124000,2329.11
openROAD_low_level_modules_yosys_v1/gf12/ariane/ariane_regfile_64_2_00000002_1.v,dump/ariane/ariane_regfile_64_2_00000002_1_speed/1_1_yosys.v,ariane,ariane_regfile_64_2_00000002_1,delay,23857.274000,517.33
openROAD_low_level_modules_yosys_v1/gf12/ariane/axi_adapter_00000080_4_00000004.v,dump/ariane/axi_adapter_00000080_4_00000004_area/1_1_yosys.v,ariane,axi_adapter_00000080_4_00000004,area,1826.888000,3073.30
openROAD_low_level_modules_yosys_v1/gf12/ariane/axi_adapter_00000080_4_00000004.v,dump/ariane/axi_adapter_00000080_4_00000004_speed/1_1_yosys.v,ariane,axi_adapter_00000080_4_00000004,delay,1429.750000,461.66
openROAD_low_level_modules_yosys_v1/gf12/ariane/axi_adapter_64_4_00000004.v,dump/ariane/axi_adapter_64_4_00000004_area/1_1_yosys.v,ariane,axi_adapter_64_4_00000004,area,1084.216000,2749.26
openROAD_low_level_modules_yosys_v1/gf12/ariane/axi_adapter_64_4_00000004.v,dump/ariane/axi_adapter_64_4_00000004_speed/1_1_yosys.v,ariane,axi_adapter_64_4_00000004,delay,695.590000,394.38
openROAD_low_level_modules_yosys_v1/gf12/ariane/bht_NR_ENTRIES128.v,dump/ariane/bht_NR_ENTRIES128_area/1_1_yosys.v,ariane,bht_NR_ENTRIES128,area,6665.162000,9366.87
